	#pkg_cov 	 #pkg 	 %pkg 	 #act_cov 	 #act 	 %act 	 #cls_cov 	 #cls 	 %cls 	 #mtd_cov 	 #mtd 	 %mtd
1Sheeld 	18	22	0.818181818182	5	5	1.0	287	884	0.324660633484	1024	3948	0.25937183384	
AFWall+ 	8	14	0.571428571429	14	14	1.0	29	340	0.0852941176471	51	1578	0.032319391635	
AnkiDroid 	14	21	0.666666666667	21	21	1.0	281	417	0.673860911271	1172	2133	0.549460853258	
AntennaPod 	10	48	0.208333333333	15	20	0.75	48	971	0.0494335736354	164	3599	0.0455682133926	
Calendula 	11	42	0.261904761905	24	24	1.0	52	700	0.0742857142857	99	3277	0.0302105584376	
Conversations 	3	32	0.09375	31	33	0.939393939394	49	975	0.0502564102564	112	5088	0.0220125786164	
CSipSimple 	28	34	0.823529411765	22	23	0.95652173913	260	611	0.425531914894	1114	3540	0.314689265537	
EteSync 	4	13	0.307692307692	15	17	0.882352941176	19	426	0.0446009389671	23	2013	0.0114257327372	
Evercam 	9	23	0.391304347826	22	22	1.0	32	344	0.093023255814	50	1709	0.0292568753657	
iNaturalist 	1	1	1.0	45	45	1.0	58	782	0.074168797954	198	3306	0.059891107078	
K9Mail 	41	52	0.788461538462	29	29	1.0	588	1131	0.519893899204	3121	6733	0.463537798901	
Lincal 	6	6	1.0	4	4	1.0	49	85	0.576470588235	125	325	0.384615384615	
OpenGPSTracker 	12	13	0.923076923077	11	11	1.0	108	152	0.710526315789	474	899	0.527252502781	
OpenKeychain 	17	50	0.34	48	51	0.941176470588	110	1532	0.0718015665796	171	7146	0.0239294710327	
Padland 	4	7	0.571428571429	10	10	1.0	21	93	0.225806451613	36	448	0.0803571428571	
PassAndroid 	13	16	0.8125	13	13	1.0	140	263	0.532319391635	333	881	0.377979568672	
Simple-Solitaire 	10	12	0.833333333333	7	7	1.0	51	184	0.277173913043	73	1396	0.0522922636103	
SteamGifts 	12	15	0.8	10	10	1.0	152	264	0.575757575758	783	1451	0.539627842867	
SuntimesWidget 	15	15	1.0	19	19	1.0	441	551	0.800362976407	2178	3401	0.640399882388	
syncthing 	4	11	0.363636363636	12	13	0.923076923077	22	267	0.0823970037453	47	1074	0.0437616387337	
